INDCLIM,INDSINOP,NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTITUD
3040Y;;BETETA;CUENCA;40 34 22 N;02 04 31 W;1214
3044X;08230;CAÑIZARES;CUENCA;40 32 00 N;02 09 02 W;940
3094B;08277;TARANCÓN;CUENCA;40 00 41 N;03 01 17 W;808
4051Y;;ALCÁZAR DEL REY;CUENCA;40 03 46 N;02 48 20 W;875
4070Y;;ABIA DE OBISPALIA;CUENCA;40 01 09 N;02 23 44 W;1020
4075Y;;VILLARES DEL SAZ;CUENCA;39 50 30 N;02 30 06 W;897
4089A;;ALBERCA DE ZANCARA;CUENCA;39 31 01 N;02 29 35 W;776
4090Y;08256;SAN CLEMENTE;CUENCA;39 24 20 N;02 25 14 W;728
4093Y;;OSA DE LA VEGA;CUENCA;39 39 22 N;02 45 36 W;763
4095Y;;BELMONTE;CUENCA;39 33 29 N;02 42 16 W;800
8096;08231;CUENCA;CUENCA;40 04 00 N;02 08 17 W;945
8155Y;;MOTILLA DEL PALANCAR;CUENCA;39 33 24 N;01 54 50 W;830
8210Y;;SALVACAÑETE;CUENCA;40 06 39 N;01 30 21 W;1270
8245Y;;MIRA;CUENCA;39 42 56 N;01 26 30 W;800
0281Y;;BLANES,JARDIN BOTANICO;GIRONA;41 40 41 N;02 48 23 E;60
0284X;;CASTELL PLATJA D´ARO;GIRONA;41 48 33 N;03 01 54 E;14
0312X;;SANT PAU DE SEGURIES;GIRONA;42 15 43 N;02 22 06 E;863
0320I;;PLANOLES;GIRONA;42 19 05 N;02 06 14 E;1149
0324A;08118;RIPOLL;GIRONA;42 11 33 N;02 11 51 E;671
0360X;;LES PLANES D´HOSTOLES;GIRONA;42 03 07 N;02 32 35 E;337
0363X;;SANT HILARI;GIRONA;41 52 57 N;02 30 52 E;810
0367;08184;GIRONA/COSTA BRAVA;GIRONA;41 54 42 N;02 45 48 E;143
0370E;;GIRONA-PARC MIGDIA;GIRONA;41 58 24 N;02 49 13 E;79
0385X;;L´ESTARTIT;GIRONA;42 03 14 N;03 12 05 E;1
0394X;;VALL DE BIANYA;GIRONA;42 14 02 N;02 24 43 E;440
0411X;;CASTELLO D´EMPURIES;GIRONA;42 13 23 N;03 05 35 E;4
0421X;;ESPOLLA, LES ALBERES;GIRONA;42 23 26 N;03 00 24 E;94
0429X;;FIGUERES, LES ASPRES;GIRONA;42 15 35 N;02 57 42 E;47
9585;08117;LA MOLINA;GIRONA;42 20 02 N;01 56 15 E;1704
5514;08420;GRANADA/BASE AÉREA;GRANADA;37 08 13 N;03 37 53 W;687
5047E;08424;BAZA, CRUZ ROJA;GRANADA;37 30 25 N;02 44 01 W;801
5051X;08423;HUÉSCAR;GRANADA;37 51 40 N;02 39 10 W;1100
5515X;;GRANADA-CARTUJA;GRANADA;37 11 31 N;03 35 38 W;780
5530E;08419;GRANADA/AEROPUERTO;GRANADA;37 11 23 N;03 47 22 W;567
5582A;08414;LOJA;GRANADA;37 09 50 N;04 10 14 W;580
6258X;;LANJARÓN;GRANADA;36 55 23 N;03 29 33 W;708
6267X;;SALOBREÑA;GRANADA;36 45 00 N;03 34 39 W;20
6268X;08485;MOTRIL,CLUB NAÚTICO;GRANADA;36 43 27 N;03 31 49 W;3
6268Y;;MOTRIL, PUERTO NAÚTICO;GRANADA;36 43 30 N;03 31 41 W;3
6272X;;CASTELL DEL FERRO;GRANADA;36 44 08 N;03 22 43 W;235
6281X;;VÁLOR;GRANADA;37 00 06 N;03 04 18 W;950
3013;08232;MOLINA DE ARAGÓN;GUADALAJARA;40 50 40 N;01 53 07 W;1056
3085Y;;PASTRANA;GUADALAJARA;40 24 33 N;02 57 06 W;965
3103;;PANTANO EL VADO;GUADALAJARA;41 00 02 N;03 17 57 W;980
3130C;08150;SIGÜENZA;GUADALAJARA;41 05 00 N;02 37 59 W;1044
3140Y;;MANDAYONA;GUADALAJARA;40 59 07 N;02 45 25 W;990
3168C;08226;GUADALAJARA;GUADALAJARA;40 39 40 N;03 10 27 W;639
3209Y;;BRIHUEGA;GUADALAJARA;40 45 20 N;02 52 14 W;835
9377Y;;EL PEDREGAL;GUADALAJARA;40 46 44 N;01 34 08 W;1185
1012P;;IRUN-LAPIZE;GUIPÚZCOA;43 19 39 N;01 47 43 W;120
1014;08029;SAN SEBASTIÁN/FUENTERRABIA;GUIPÚZCOA;43 21 38 N;01 47 14 W;4
1021X;;RENTERIA (PRESA DEL AÑARBE);GUIPÚZCOA;43 12 51 N;01 52 40 W;165
1024E;08027;SAN SEBASTIÁN,IGUELDO;GUIPÚZCOA;43 18 27 N;02 02 22 W;251
1025X;;ARRIARAN ;GUIPÚZCOA;43 03 21 N;02 13 51 W;255
1026X;;ORDIZIA-ARETA;GUIPÚZCOA;43 03 33 N;02 10 59 W;290
1036A;;ZARAUTZ-UNTZAIN;GUIPÚZCOA;43 16 50 N;02 10 48 W;60
1037X;;LEGAZPIA;GUIPÚZCOA;43 03 10 N;02 20 08 W;460
1037Y;08037;ZUMARRAGA, URZABALETA;GUIPÚZCOA;43 04 48 N;02 19 04 W;420
1038X;;AZPEITIA-IBAIEDER;GUIPÚZCOA;43 10 26 N;02 15 56 W;180
1041A;08026;ZUMAYA,FARO;GUIPÚZCOA;43 18 08 N;02 15 04 W;28
1048X;;ARETXABALETA-EMBALSE URKULU;GUIPÚZCOA;43 01 32 N;02 27 51 W;308
1049X;;ELGETA-PRESA AIXOLA;GUIPÚZCOA;43 09 46 N;02 30 31 W;318
1050J;08036;ELGOIBAR,IBERDROLA;GUIPÚZCOA;43 12 32 N;02 24 49 W;120
1052A;;MUTRIKU-GALDONAMENDI;GUIPÚZCOA;43 19 05 N;02 23 44 W;150
4527X;;AROCHE , MASERA ;HUELVA;37 58 59 N;06 58 27 W;260
4549Y;08381;AYAMONTE, ISLA CANELA;HUELVA;37 11 45 N;07 23 38 W;2
4554X;;CARTAYA , PEMARES;HUELVA;37 13 09 N;07 04 54 W;15
4560Y;08380;ALAJAR, CABEZO MOLINO;HUELVA;37 52 11 N;06 40 24 W;572
4575X;;VALVERDE CAMINO (CH.GUADIANA AUTOMATICA);HUELVA;37 34 17 N;06 45 07 W;273
